"","GEOID","GEO_ID","state","place","NAME","CRRALL","CRRINT","RESP_DATE","FSRR2010","dif","popul","hhold","hunit","hhinc","povty","lmeng","hispa","white","black","asian","other","nonwh"
"80","1765819","1600000US1765819","17","65819","Rosemont village, Illinois",68.6,56.7,"2020-08-19",70.6,-2,4315,1604,1836,54196,19,13.8,40.2,53.3,3.3,2.5,0.7,46.7
"81","1767548","1600000US1767548","17","67548","Sandwich city, Illinois",78.9,67.6,"2020-08-19",76.7,2.2,7617,2720,2847,66707,8.2,1.2,16.5,82.5,0.1,0.2,0.7,17.5
"82","1764343","1600000US1764343","17","64343","River Grove village, Illinois",67.3,57,"2020-08-19",68.1,-0.799999999999997,10148,3765,4019,55508,11.2,22.5,29.7,66,1.2,1.2,1.9,34
"83","1764421","1600000US1764421","17","64421","Riverside village, Illinois",81.6,74.4,"2020-08-19",78,3.59999999999999,8810,3190,3324,113025,5.7,0.9,14.3,81.2,1.5,2.4,0.6,18.8
"84","1767769","1600000US1767769","17","67769","Sauk Village village, Illinois",60.1,44.2,"2020-08-19",60.1,0,10516,3336,4105,42105,26.8,1.2,10.3,17.6,68.5,0.9,2.7,82.4
"85","1762016","1600000US1762016","17","62016","Prospect Heights city, Illinois",73.9,65.2,"2020-08-19",71.4,2.5,16250,5847,6019,67620,10.4,15.6,31.7,57.4,2.1,8.4,0.4,42.6
"86","1764616","1600000US1764616","17","64616","Robbins village, Illinois",51.2,27.4,"2020-08-19",59.2,-8,5003,1626,2062,26804,38.7,0.4,6.1,5.6,85.2,0.2,2.9,94.4
"87","1764902","1600000US1764902","17","64902","Rockdale village, Illinois",62.3,48.5,"2020-08-19",68.5,-6.2,1932,729,801,52784,10.9,8.1,41.6,50.9,6.8,0.4,0.3,49.1
"88","1768003","1600000US1768003","17","68003","Schaumburg village, Illinois",78.7,72.2,"2020-08-19",75.1,3.60000000000001,74569,29735,31746,79740,6.6,6,10.9,57.7,3.6,25,2.8,42.3
"89","1768081","1600000US1768081","17","68081","Schiller Park village, Illinois",68.3,49.1,"2020-08-19",67.8,0.5,11704,4291,4545,54617,13.1,23.1,24.7,65.8,1,4.6,3.9,34.2
"90","1766027","1600000US1766027","17","66027","Round Lake village, Illinois",77,70.7,"2020-08-19",77.2,-0.200000000000003,18489,5747,5958,79543,6.3,6.1,30.1,47.1,10,10.6,2.2,52.9
"91","1766053","1600000US1766053","17","66053","Round Lake Heights village, Illinois",76.4,67.4,"2020-08-19",75,1.40000000000001,3208,858,920,75238,14.9,4.7,46.5,45.7,3.8,3.3,0.7,54.3
"92","1766066","1600000US1766066","17","66066","Round Lake Park village, Illinois",78.1,64,"2020-08-19",80.6,-2.5,8057,3140,3285,47256,12.8,6.1,47.8,45.7,4.3,1.2,1,54.3
"93","1772923","1600000US1772923","17","72923","Stone Park village, Illinois",53.8,43.6,"2020-08-19",70.1,-16.3,4923,1264,1416,59022,19.4,26.3,88.6,4.8,2.7,3.1,0.8,95.2
"94","1773157","1600000US1773157","17","73157","Streamwood village, Illinois",81.5,73.1,"2020-08-19",79,2.5,40413,13193,13755,80072,5.4,7.9,34.4,46.9,4.2,12.3,2.2,53.1
"95","1770629","1600000US1770629","17","70629","South Chicago Heights village, Illinois",59.9,30.3,"2020-08-19",66.6,-6.7,4105,1481,1667,38082,26.2,5.3,46.4,36.9,14.6,0,2.1,63.1
"96","1770720","1600000US1770720","17","70720","South Elgin village, Illinois",79,72.6,"2020-08-19",80.2,-1.2,22522,7246,7344,93617,6.1,1.6,18.6,70.3,3.2,5.6,2.3,29.7
"97","1770850","1600000US1770850","17","70850","South Holland village, Illinois",75.6,55.2,"2020-08-19",75.9,-0.300000000000011,21866,7219,7790,62951,12.2,1.4,4.8,12.9,81.3,0.5,0.5,87.1
"98","1773391","1600000US1773391","17","73391","Sugar Grove village, Illinois",81,75.2,"2020-08-19",80.1,0.900000000000006,9545,3335,3375,115063,2.7,1.5,8,82.2,5.8,3.3,0.7,17.8
"99","1773638","1600000US1773638","17","73638","Summit village, Illinois",52.8,29.4,"2020-08-19",63.2,-10.4,11340,3268,3750,46417,19.1,19.7,73.8,15.9,6,4.1,0.2,84.1
"100","1774275","1600000US1774275","17","74275","Symerton village, Illinois",76.7,60.5,"2020-08-19",75,1.7,105,34,34,67500,1,0,0,100,0,0,0,0
"101","1772520","1600000US1772520","17","72520","Steger village, Illinois",62.2,49.7,"2020-08-19",71.1,-8.89999999999999,9439,4297,4782,46645,15,1.7,15,57.5,25,1.1,1.4,42.5
"102","1770161","1600000US1770161","17","70161","Sleepy Hollow village, Illinois",83.4,77.1,"2020-08-19",84.7,-1.3,3319,1218,1231,108906,3.6,1.1,10.4,83,1.1,2.1,3.4,17
"103","1770122","1600000US1770122","17","70122","Skokie village, Illinois",79.2,71.2,"2020-08-19",73.7,5.5,64395,22446,24118,74272,8.8,14,11,49.6,8,26.9,4.5,50.4
"104","1772676","1600000US1772676","17","72676","Stickney village, Illinois",74.7,62.4,"2020-08-19",72.7,2,6732,2260,2477,59467,6,6,54.4,39.2,0.5,2.1,3.8,60.8
"105","1710906","1600000US1710906","17","10906","Campton Hills village, Illinois",84,79.1,"2020-08-19",84.9,-0.900000000000006,11348,3534,3595,139500,2.5,0.4,3.1,94.2,0.5,1,1.2,5.8
"106","1711358","1600000US1711358","17","11358","Carpentersville village, Illinois",73.7,61.4,"2020-08-19",72.7,1,38138,10824,11195,62620,16.1,8.7,50.5,32.2,8.1,7.8,1.4,67.8
"107","1711592","1600000US1711592","17","11592","Cary village, Illinois",85.3,79.1,"2020-08-19",84,1.3,17871,6278,6485,99652,6.5,1.8,8.2,84.4,1.7,3.5,2.2,15.6
"108","1712476","1600000US1712476","17","12476","Channahon village, Illinois",79.9,72.4,"2020-08-19",82.3,-2.39999999999999,12718,4085,4169,91372,7.5,0.3,9.7,87.7,0.7,0.3,1.6,12.3
"109","1714000","1600000US1714000","17","14000","Chicago city, Illinois",57.4,47.6,"2020-08-19",62.4,-5,2718555,1056118,1208839,55198,19.5,8.4,29,32.8,29.7,6.4,2.1,67.2
"110","1714065","1600000US1714065","17","14065","Chicago Ridge village, Illinois",66.8,56.8,"2020-08-19",69.3,-2.5,14254,5159,5560,42306,26.1,8,9.3,74.7,11.9,3.2,0.9,25.3
"111","1714351","1600000US1714351","17","14351","Cicero town, Illinois",50.9,38.4,"2020-08-19",61.8,-10.9,83147,22226,24582,47487,18.2,18,89.2,6.8,3.1,0.6,0.3,93.2
"112","1714572","1600000US1714572","17","14572","Clarendon Hills village, Illinois",80.6,74.1,"2020-08-19",80.2,0.399999999999991,8711,3200,3377,126500,5,1.3,10.1,81.1,0.3,6.8,1.7,18.9
"113","1715170","1600000US1715170","17","15170","Coal City village, Illinois",77,67.1,"2020-08-19",78.8,-1.8,5427,2215,2350,71406,7.6,0.5,4.2,91.8,1.1,0.9,2,8.2
"114","1784038","1600000US1784038","17","84038","Yorkville city, Illinois",80,73.5,"2020-08-19",76.1,3.90000000000001,19145,6175,6458,95180,5.3,1,13.1,74.5,6.4,4.1,1.9,25.5
"115","1784220","1600000US1784220","17","84220","Zion city, Illinois",60.9,49,"2020-08-19",64.2,-3.3,24047,7820,8740,51039,19.5,2.5,28.8,33.3,29.6,4,4.3,66.7
"116","1701595","1600000US1701595","17","01595","Antioch village, Illinois",75.8,68.1,"2020-08-19",77.9,-2.10000000000001,14305,5035,5451,87604,6.5,1.3,8.1,83,3.5,1.6,3.8,17
"117","1704303","1600000US1704303","17","04303","Beach Park village, Illinois",74.5,64.8,"2020-08-19",76.2,-1.7,13534,4682,5046,74492,7.6,1.7,28.4,52.8,11.1,3.8,3.9,47.2
"118","1706587","1600000US1706587","17","06587","Bloomingdale village, Illinois",81,73.1,"2020-08-19",77,4,22138,8581,8834,85105,6,5.4,12.2,69.7,3.2,13.4,1.5,30.3
"119","1708225","1600000US1708225","17","08225","Bridgeview village, Illinois",66.4,55.6,"2020-08-19",68.2,-1.8,16440,5535,5900,54025,18.8,17.1,22.7,66.2,3.6,6.4,1.1,33.8
"120","1708446","1600000US1708446","17","08446","Broadview village, Illinois",71.5,59.4,"2020-08-19",69.5,2,7829,3204,3418,49236,8.8,0.8,3.4,14.9,74.5,3,4.2,85.1
"121","1708576","1600000US1708576","17","08576","Brookfield village, Illinois",79.3,71.4,"2020-08-19",77.8,1.5,18858,6975,7599,81192,7.8,2.7,22.9,68.6,5.4,1.9,1.2,31.4
"122","1709759","1600000US1709759","17","09759","Burlington village, Illinois",49,45.6,"2020-08-19",73.2,-24.2,668,239,263,91875,2.9,0,3.9,95.7,0,0,0.4,4.3
"123","1709980","1600000US1709980","17","09980","Burr Ridge village, Illinois",78.3,70.8,"2020-08-19",76,2.3,10795,4299,4489,144609,3,1.2,4.1,77.1,1.4,16.1,1.3,22.9
"124","1711332","1600000US1711332","17","11332","Carol Stream village, Illinois",76.7,69.9,"2020-08-19",76.7,0,39989,14119,14591,79909,8.8,6,14.9,57.2,7.5,19.2,1.2,42.8
